epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
92,1634.06,0.34697,0.24684,0.86093,0.00595,0.93342,0.93475,0.95117,0.69003,0.89918,0.39868,1.42405,0.00655,0.0002664,0.0002664,0.0002664
93,1662.15,0.34345,0.24592,0.85962,0.00589,0.94034,0.94017,0.95971,0.69102,0.89521,0.39349,1.42182,0.00683,0.000261998,0.000261998,0.000261998
94,1690.4,0.33837,0.23618,0.85764,0.00565,0.93833,0.94603,0.95435,0.69268,0.89231,0.38911,1.42069,0.00678,0.000257595,0.000257595,0.000257595
95,1718.42,0.33863,0.2382,0.8606,0.0058,0.93893,0.93211,0.95808,0.69436,0.89942,0.395,1.42784,0.00714,0.000253193,0.000253193,0.000253193
96,1745.22,0.33363,0.23734,0.85252,0.00567,0.95498,0.91094,0.95544,0.6935,0.88815,0.39485,1.40877,0.00662,0.000248791,0.000248791,0.000248791
97,1772.47,0.33602,0.23965,0.85749,0.00614,0.95004,0.9228,0.95655,0.69556,0.89441,0.39433,1.42703,0.00678,0.000244389,0.000244389,0.000244389
98,455.477,0.31757,0.22781,0.84635,0.0054,0.94478,0.93515,0.96032,0.69705,0.88466,0.38776,1.41894,0.0066,0.000239987,0.000239987,0.000239987
99,482.95,0.31765,0.22672,0.84666,0.00563,0.95051,0.93083,0.95782,0.69237,0.90185,0.39415,1.45338,0.00676,0.000235584,0.000235584,0.000235584
100,511.111,0.31147,0.22777,0.84447,0.00548,0.95142,0.92107,0.95558,0.68867,0.90562,0.40406,1.44726,0.00703,0.000231182,0.000231182,0.000231182
101,538.648,0.30957,0.22135,0.8404,0.00482,0.93588,0.93802,0.95441,0.69308,0.89345,0.3943,1.43148,0.00655,0.00022678,0.00022678,0.00022678
102,563.748,0.3095,0.2223,0.84297,0.00548,0.94559,0.92502,0.95358,0.68968,0.89917,0.40241,1.44496,0.00676,0.000222378,0.000222378,0.000222378
103,591.708,0.30869,0.22375,0.84497,0.00547,0.9565,0.93081,0.95601,0.69681,0.88614,0.39141,1.42765,0.00674,0.000217976,0.000217976,0.000217976
104,619.624,0.30295,0.218,0.83979,0.0051,0.95477,0.9333,0.95638,0.69358,0.8992,0.39105,1.44918,0.00686,0.000213573,0.000213573,0.000213573
105,646.841,0.30891,0.22022,0.84242,0.00534,0.93722,0.94939,0.95991,0.69944,0.88775,0.38906,1.43109,0.00661,0.000209171,0.000209171,0.000209171
106,672.319,0.30722,0.22162,0.84245,0.00548,0.93407,0.94661,0.95389,0.69329,0.87933,0.39144,1.4195,0.00676,0.000204769,0.000204769,0.000204769
107,700.269,0.30212,0.2204,0.83905,0.0051,0.95314,0.9305,0.95334,0.69678,0.88663,0.39489,1.43406,0.00634,0.000200367,0.000200367,0.000200367
108,728.511,0.30839,0.21949,0.84195,0.00514,0.94452,0.93751,0.95362,0.6921,0.89523,0.39231,1.44381,0.00651,0.000195965,0.000195965,0.000195965
109,756.368,0.30495,0.21995,0.8407,0.00492,0.95186,0.92462,0.95421,0.6954,0.88541,0.3973,1.43165,0.00663,0.000191562,0.000191562,0.000191562
110,782.978,0.29862,0.21897,0.83799,0.00552,0.95087,0.92604,0.9493,0.69354,0.88926,0.39715,1.43171,0.00635,0.00018716,0.00018716,0.00018716
111,810.476,0.30297,0.21892,0.83978,0.00537,0.95325,0.92656,0.95174,0.69486,0.89039,0.39315,1.43746,0.00661,0.000182758,0.000182758,0.000182758
112,838.507,0.29636,0.21533,0.83874,0.00508,0.94754,0.92392,0.96075,0.69728,0.89313,0.3945,1.43965,0.00667,0.000178356,0.000178356,0.000178356
113,866.821,0.2981,0.2142,0.83912,0.0053,0.95303,0.92923,0.95748,0.69692,0.88432,0.38995,1.43992,0.00632,0.000173954,0.000173954,0.000173954
114,893.031,0.29546,0.21648,0.83971,0.0052,0.94501,0.93296,0.95923,0.70073,0.89185,0.39764,1.44142,0.00645,0.000169551,0.000169551,0.000169551
115,920.128,0.2924,0.21241,0.83875,0.00505,0.94796,0.93111,0.95884,0.69788,0.88573,0.39388,1.43954,0.00674,0.000165149,0.000165149,0.000165149
116,948.654,0.29671,0.2162,0.83687,0.00509,0.94908,0.93301,0.96003,0.70017,0.88374,0.38656,1.43565,0.00665,0.000160747,0.000160747,0.000160747
117,976.719,0.28524,0.20827,0.8341,0.00474,0.95962,0.92488,0.9563,0.69746,0.89261,0.39318,1.44429,0.00664,0.000156345,0.000156345,0.000156345
118,1003.37,0.28793,0.21275,0.83545,0.00494,0.93232,0.95135,0.95673,0.69852,0.89238,0.39186,1.44612,0.00642,0.000151943,0.000151943,0.000151943
119,1031.12,0.29276,0.21241,0.83604,0.00492,0.93635,0.94025,0.95554,0.69892,0.89003,0.39303,1.43995,0.00653,0.00014754,0.00014754,0.00014754
120,1059.31,0.30049,0.21735,0.84276,0.005,0.93821,0.95048,0.952,0.69373,0.88781,0.39188,1.4379,0.00654,0.000143138,0.000143138,0.000143138
121,1086.69,0.2914,0.21073,0.83687,0.00469,0.93817,0.93543,0.95901,0.69916,0.89157,0.39366,1.44781,0.0066,0.000138736,0.000138736,0.000138736
122,1113.39,0.2903,0.21268,0.8362,0.00489,0.94638,0.92608,0.95715,0.69847,0.89427,0.39163,1.44676,0.00656,0.000134334,0.000134334,0.000134334
123,1139.98,0.28443,0.20875,0.83303,0.00481,0.95115,0.92084,0.9591,0.69879,0.89179,0.39376,1.45286,0.0066,0.000129932,0.000129932,0.000129932
124,1167.44,0.28921,0.21294,0.83589,0.00452,0.92034,0.95174,0.9549,0.69738,0.88859,0.39706,1.44098,0.0065,0.000125529,0.000125529,0.000125529
125,1194.62,0.28573,0.20905,0.8333,0.00466,0.9421,0.93556,0.95658,0.69402,0.88966,0.39168,1.43964,0.00669,0.000121127,0.000121127,0.000121127
126,1221.76,0.28916,0.21205,0.8386,0.00483,0.94827,0.92497,0.95892,0.69949,0.8874,0.39409,1.4455,0.00683,0.000116725,0.000116725,0.000116725
127,1248.31,0.2852,0.20677,0.83649,0.00492,0.94707,0.92704,0.95223,0.69639,0.88824,0.39023,1.44674,0.00657,0.000112323,0.000112323,0.000112323
128,1274.95,0.28409,0.20748,0.83413,0.00502,0.93827,0.93305,0.95183,0.69487,0.88755,0.39621,1.44725,0.00656,0.000107921,0.000107921,0.000107921
129,1301.9,0.27808,0.20547,0.83229,0.00463,0.93664,0.93427,0.95195,0.6963,0.88484,0.40278,1.44186,0.00663,0.000103518,0.000103518,0.000103518
130,1329.68,0.28248,0.20623,0.83529,0.00425,0.95007,0.91869,0.95217,0.69644,0.88508,0.39388,1.44441,0.00671,9.91162e-05,9.91162e-05,9.91162e-05
131,1356.18,0.28074,0.20669,0.83276,0.00476,0.9382,0.93861,0.95618,0.69927,0.88586,0.39475,1.44706,0.00654,9.4714e-05,9.4714e-05,9.4714e-05
132,1382.7,0.28102,0.20712,0.83377,0.00496,0.93427,0.93894,0.95553,0.70024,0.88652,0.39747,1.44537,0.0065,9.03118e-05,9.03118e-05,9.03118e-05
133,1409.6,0.28452,0.20788,0.83371,0.00475,0.94313,0.9358,0.95703,0.69993,0.88313,0.39246,1.43649,0.00649,8.59096e-05,8.59096e-05,8.59096e-05
134,1437.2,0.28471,0.21056,0.83145,0.00446,0.95964,0.92693,0.95767,0.70098,0.88518,0.39206,1.43706,0.00645,8.15074e-05,8.15074e-05,8.15074e-05
135,1465.16,0.28675,0.21055,0.83597,0.00482,0.95526,0.9168,0.95789,0.7003,0.88777,0.39443,1.44046,0.00653,7.71052e-05,7.71052e-05,7.71052e-05
136,1493.03,0.28387,0.20781,0.83348,0.00485,0.94168,0.93946,0.95681,0.70008,0.88123,0.39048,1.43588,0.00645,7.2703e-05,7.2703e-05,7.2703e-05
137,1518.63,0.28226,0.20997,0.83364,0.00457,0.94943,0.92871,0.95659,0.6973,0.88112,0.393,1.43782,0.00659,6.83008e-05,6.83008e-05,6.83008e-05
138,1546.59,0.28264,0.2097,0.83247,0.00455,0.95041,0.92357,0.95515,0.6961,0.88417,0.39385,1.44773,0.00667,6.38986e-05,6.38986e-05,6.38986e-05
139,1573.87,0.2768,0.20698,0.83124,0.00485,0.93512,0.93872,0.95833,0.69617,0.88918,0.39411,1.44422,0.00644,5.94964e-05,5.94964e-05,5.94964e-05
140,1601.66,0.27288,0.20065,0.82903,0.00471,0.94888,0.92324,0.95642,0.69952,0.88525,0.39491,1.44229,0.00652,5.50942e-05,5.50942e-05,5.50942e-05
141,1626.12,0.21534,0.15309,0.80457,0.00261,0.95426,0.92382,0.95483,0.69511,0.88639,0.39654,1.44921,0.00655,5.0692e-05,5.0692e-05,5.0692e-05
142,1649.55,0.21286,0.15168,0.80505,0.00268,0.95205,0.92399,0.95706,0.69517,0.88563,0.39657,1.45072,0.00654,4.62898e-05,4.62898e-05,4.62898e-05
143,1671.07,0.21039,0.15112,0.80516,0.00263,0.95097,0.93256,0.95811,0.69853,0.8859,0.39349,1.45137,0.00649,4.18876e-05,4.18876e-05,4.18876e-05
144,1694,0.20927,0.14973,0.80517,0.0026,0.947,0.93316,0.95694,0.69682,0.88605,0.39528,1.44882,0.00652,3.74854e-05,3.74854e-05,3.74854e-05
145,1715.44,0.2035,0.14621,0.80204,0.00279,0.94763,0.93605,0.95799,0.69904,0.88872,0.39704,1.45554,0.00649,3.30832e-05,3.30832e-05,3.30832e-05
146,1738.34,0.20432,0.14696,0.80467,0.00266,0.94559,0.93557,0.95865,0.699,0.88765,0.39746,1.45248,0.00651,2.8681e-05,2.8681e-05,2.8681e-05
147,1759.72,0.20473,0.14778,0.80306,0.00264,0.94798,0.93364,0.9589,0.69914,0.88861,0.39539,1.45461,0.00645,2.42788e-05,2.42788e-05,2.42788e-05
148,1783.08,0.20508,0.1476,0.80492,0.00248,0.94396,0.93511,0.95857,0.69789,0.8868,0.3957,1.45127,0.00642,1.98766e-05,1.98766e-05,1.98766e-05
149,1804.34,0.203,0.14707,0.80349,0.00264,0.94602,0.93539,0.95846,0.69918,0.88696,0.39596,1.45177,0.00648,1.54744e-05,1.54744e-05,1.54744e-05
150,1827.19,0.20184,0.14655,0.80254,0.00254,0.94438,0.93548,0.958,0.69927,0.88669,0.39557,1.45316,0.00645,1.10722e-05,1.10722e-05,1.10722e-05
