epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
77,549.292,0.66961,0.55098,1.21753,0.0133,0.88438,0.86644,0.91567,0.68879,0.79751,0.58819,1.24214,0.01167,0.000145589,0.000145589,0.000145589
78,570.079,0.68127,0.54006,1.20607,0.01326,0.87828,0.8561,0.91435,0.68794,0.79979,0.57818,1.2409,0.01163,0.000139768,0.000139768,0.000139768
79,592.279,0.67714,0.54084,1.21181,0.01287,0.87928,0.87947,0.91651,0.68692,0.8038,0.57864,1.24579,0.01208,0.000133946,0.000133946,0.000133946
80,613.119,0.68584,0.53817,1.20308,0.01359,0.88539,0.86896,0.91875,0.69114,0.79853,0.57862,1.24161,0.01126,0.000128125,0.000128125,0.000128125
81,632.85,0.67695,0.52814,1.203,0.01215,0.87705,0.87724,0.91664,0.69119,0.79659,0.5747,1.2372,0.01203,0.000122304,0.000122304,0.000122304
82,656.163,0.65613,0.52817,1.18749,0.01111,0.90511,0.85287,0.91973,0.69086,0.80075,0.5765,1.23849,0.01155,0.000116483,0.000116483,0.000116483
83,677.839,0.68003,0.5449,1.20044,0.01264,0.86773,0.86461,0.92168,0.69234,0.80468,0.58182,1.24069,0.01139,0.000110662,0.000110662,0.000110662
84,699.656,0.67377,0.53504,1.19889,0.01336,0.88536,0.87214,0.92037,0.6919,0.79847,0.5771,1.23384,0.01162,0.00010484,0.00010484,0.00010484
85,721.918,0.66919,0.52864,1.18474,0.01336,0.88566,0.86552,0.9203,0.69212,0.80202,0.58477,1.23701,0.01161,9.90192e-05,9.90192e-05,9.90192e-05
86,742.154,0.65296,0.52292,1.19046,0.01259,0.89767,0.8522,0.92179,0.69165,0.7991,0.58007,1.23642,0.01165,9.3198e-05,9.3198e-05,9.3198e-05
87,763.596,0.67994,0.52758,1.20179,0.01186,0.89307,0.87062,0.92137,0.69281,0.80145,0.57745,1.23835,0.01201,8.73768e-05,8.73768e-05,8.73768e-05
88,786.05,0.67179,0.5366,1.19881,0.01343,0.90548,0.86116,0.92365,0.69354,0.80022,0.57818,1.23659,0.0119,8.15556e-05,8.15556e-05,8.15556e-05
89,807.578,0.65443,0.51774,1.20063,0.01183,0.88857,0.86972,0.9211,0.69246,0.79674,0.57357,1.23496,0.01169,7.57344e-05,7.57344e-05,7.57344e-05
90,830.873,0.66625,0.5265,1.19696,0.01321,0.88787,0.87329,0.92101,0.69198,0.79739,0.57244,1.23756,0.01157,6.99132e-05,6.99132e-05,6.99132e-05
91,854.926,0.61782,0.49885,1.12528,0.01141,0.87798,0.8798,0.92117,0.68746,0.81415,0.58943,1.2385,0.01163,6.4092e-05,6.4092e-05,6.4092e-05
92,875.248,0.60541,0.48589,1.09078,0.01065,0.89014,0.85582,0.92038,0.68987,0.80429,0.59072,1.23179,0.01155,5.82708e-05,5.82708e-05,5.82708e-05
93,896.074,0.60207,0.47827,1.09754,0.01042,0.87979,0.86883,0.91749,0.68708,0.79986,0.59095,1.23566,0.01183,5.24496e-05,5.24496e-05,5.24496e-05
94,914.316,0.59799,0.47275,1.10066,0.01184,0.88966,0.86479,0.9175,0.68995,0.80316,0.58968,1.2414,0.01193,4.66284e-05,4.66284e-05,4.66284e-05
95,933.19,0.59406,0.46554,1.09728,0.01125,0.89764,0.85652,0.91855,0.69344,0.7991,0.58654,1.236,0.01152,4.08072e-05,4.08072e-05,4.08072e-05
96,952.909,0.59674,0.47005,1.10307,0.01153,0.89788,0.85667,0.91744,0.69176,0.79835,0.58632,1.23738,0.01134,3.4986e-05,3.4986e-05,3.4986e-05
97,974.848,0.59103,0.46158,1.08189,0.01104,0.89936,0.85547,0.9165,0.69011,0.79779,0.58389,1.23847,0.01115,2.91648e-05,2.91648e-05,2.91648e-05
98,996.157,0.598,0.46294,1.101,0.01081,0.8915,0.86107,0.91688,0.69204,0.79558,0.58099,1.2375,0.01108,2.33436e-05,2.33436e-05,2.33436e-05
99,1017.84,0.59416,0.465,1.1078,0.00985,0.89041,0.862,0.9169,0.69312,0.7944,0.58038,1.23743,0.0113,1.75224e-05,1.75224e-05,1.75224e-05
100,1040.71,0.58713,0.45796,1.10115,0.01013,0.87908,0.87426,0.91739,0.69214,0.79541,0.58119,1.23727,0.01142,1.17012e-05,1.17012e-05,1.17012e-05
